item,store_id,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2022/12,total_2023,total _2022,total_sales
A,1,0,0,4,0,5,0,5,0,2,0,0,10,0,0,0,0,0,0,0,0,0,16,0,16
A,2,5,0,5,0,0,0,0,5,0,0,0,5,5,0,6,5,0,2,5,0,0,15,10,25
A,3,5,10,50,10,30,10,30,15,10,15,20,20,35,20,27,21,0,20,15,15,20,170,28,198
A,4,20,0,20,0,30,0,0,40,0,0,20,10,20,10,20,20,0,20,20,0,10,110,228,338
A,5,0,20,0,25,20,10,0,20,0,0,0,10,10,10,10,0,20,0,0,20,5,95,150,245
A,6,20,0,70,40,0,20,0,20,20,10,30,50,50,30,30,80,0,20,30,0,20,190,85,275
A,7,30,20,80,60,0,0,40,45,20,20,40,10,70,30,40,80,40,0,40,20,20,295,350,645
A,8,20,0,270,110,40,0,40,10,230,80,20,200,40,40,30,20,70,292,20,40,0,720,410,1130
A,9,0,0,0,10,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,7,10,852,862
A,10,37,0,6,15,0,12,0,17,8,0,8,0,30,20,25,0,20,0,28,0,0,95,21,116
A,11,3,6,2,8,2,5,0,4,0,5,0,2,6,2,0,8,0,0,2,4,0,30,131,161
A,12,10,15,0,15,0,0,0,20,0,0,10,0,15,0,30,0,0,3,0,0,0,60,29,89
A,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,58,69
A,14,0,0,5,0,0,0,10,2,0,10,0,0,0,15,0,0,8,0,0,10,0,17,0,17
A,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,43,52
A,16,10,10,0,30,20,10,0,20,10,30,0,0,10,20,30,0,0,0,0,10,20,110,0,110
A,17,10,0,10,0,10,10,0,10,0,0,0,10,20,0,10,0,10,0,0,10,0,50,120,170
A,18,0,0,0,0,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,0,0,60,60
A,19,10,12,15,30,24,0,27,6,14,12,15,10,15,15,25,6,10,16,14,8,8,138,50,188
